Concept,Summary,Azure Comparable
Amazon Verified Permissions,Fine-grained authz via Cedar (new),No clean equivalent
Amazon VPC,Isolated virtual network boundary,Virtual Network (VNet)
Application Recovery Controller,Automated recovery orchestration (new),Azure Site Recovery
Automated Forensics Orchestrator (EC2),Automated EC2 forensic collection (new),No clean equivalent
AWS Artifact,On-demand compliance reports,Microsoft Service Trust Portal
AWS Audit Manager,Automates compliance evidence collection,Microsoft Purview Compliance Manager
AWS Backup,Centralized backup with Vault Lock,Azure Backup
AWS Certificate Manager (ACM),Manages TLS certificate lifecycle,Key Vault certs / App Gateway
AWS Client VPN,Managed remote-access VPN,Azure VPN Gateway (P2S)
AWS CloudHSM,Dedicated hardware security module,Azure Dedicated HSM
AWS CloudTrail,Records all AWS API calls,Azure Activity Log
AWS CloudTrail Lake,Queryable managed audit log store (new),Sentinel / Log Analytics query
AWS Config,Tracks config and compliance,Azure Policy
AWS Control Tower,Governed multi-account landing zone,Azure Landing Zones
AWS Direct Connect,Private dedicated network link,Azure ExpressRoute
AWS Directory Service,Managed Active Directory,Microsoft Entra Domain Services
AWS Fargate,Serverless container compute,Azure Container Instances
AWS Fault Injection Service (FIS),Chaos testing of resilience (new),Azure Chaos Studio
AWS Firewall Manager,Central WAF/firewall policy management,Azure Firewall Manager
AWS IAM Identity Center,Workforce SSO and multi-account access,Entra ID SSO / enterprise apps
AWS Identity and Access Management (IAM),Core identity + access policies for AWS,Entra ID + Azure RBAC
AWS Key Management Service (KMS),Encryption key management service,Azure Key Vault (keys)
AWS Lambda,Serverless functions for automation,Azure Functions
AWS Network Firewall,Managed network firewall,Azure Firewall
AWS Organizations,Multi-account management,Management Groups
AWS Private Certificate Authority,Issues private TLS certificates,Azure Private CA / Key Vault
AWS PrivateLink / VPC Endpoints,Private access to services,Private Link / Private Endpoints
AWS Resilience Hub,Validates recovery objectives (new),Azure Site Recovery (rough)
AWS Resource Access Manager (RAM),Share resources across accounts,Azure Lighthouse (rough)
AWS Secrets Manager,Stores and rotates secrets/credentials,Azure Key Vault (secrets)
AWS Security Hub,Posture aggregation and scoring,Defender for Cloud (CSPM)
AWS Shield / Shield Advanced,DDoS protection,Azure DDoS Protection
AWS Site-to-Site VPN,Encrypted tunnel to on-prem,Azure VPN Gateway (S2S)
AWS Step Functions,Orchestrates IR automation workflows,Azure Logic Apps
AWS STS (AssumeRole),Issues temporary credentials on assume,Managed identity token / PIM
AWS Systems Manager,"Patch, run command, state mgmt",Azure Automation / Update Mgr
AWS Transit Gateway,Hub connecting many VPCs,Azure Virtual WAN
AWS User Notifications,Central notification management (new),Azure Monitor action groups
AWS Verified Access,"Zero-trust access, VPN replacement (new)",Entra Private Access / App Proxy
AWS WAF,Web application firewall,Azure WAF
CloudFront access logging,Edge access logs,Front Door / CDN logs
Cognito Identity Pools,Exchanges login for temp AWS creds,No clean equivalent
Config Conformance Packs,Bundled compliance rule sets,Azure Policy initiatives
Declarative policies (Orgs),Org-wide enforced config baseline (new),Azure Policy (deny/enforce)
EC2 Auto Scaling,Secure automatic scaling of instances,VM Scale Sets
EC2 Image Builder,Builds hardened machine images,Azure VM Image Builder
EC2 Instance Connect,Short-lived SSH access to EC2,Azure Bastion (rough)
EC2 Instance Metadata Service (IMDSv2),Token-protected instance metadata,Azure IMDS (token-style)
Elastic Load Balancing (ELB),TLS termination and traffic distribution,Azure Load Balancer / App Gateway
ELB access logs (ALB/NLB),Load balancer traffic logs,App Gateway / Load Balancer logs
Envelope encryption (concept),Data key encrypted by a master key,Key Vault CMK envelope
GenAI OWASP Top 10 for LLM (concept),Guardrails against LLM app risks,Azure AI Content Safety (rough)
IAM Permission boundaries,Ceiling on what a role can be granted,No clean equivalent
IAM Roles,"Assumed temporary identity, no long creds",Managed Identities + Entra roles
KMS grants,Temporary scoped permission to a key,No clean equivalent
KMS key policies,Root of trust controlling a key,Key Vault access policy / RBAC
Network ACLs (NACLs),Stateless subnet-level filter,NSG (no stateless equivalent)
Nitro encryption (concept),Hardware-level EC2 encryption,Azure confidential computing
Resource Control Policies (RCPs),Org-wide guardrail on resources (new),No clean equivalent
Route 53 Resolver DNS Firewall,Blocks malicious DNS queries,Azure DNS security policies
Route 53 Resolver Query Logs,DNS query logging,Azure DNS Analytics
S3 Block Public Access,Prevents public S3 exposure,Storage public-access controls
S3 Bucket Policies,Resource policy controlling S3 access,Storage RBAC + SAS
S3 Object Lock,WORM storage for forensic evidence,Blob immutable storage
S3 server access logging,Records requests to S3 objects,Storage analytics logging
Security Groups (EC2/VPC),Stateful instance-level firewall,Network Security Group (NSG)
Service Control Policies (SCPs),Org-wide max-permission guardrail,Mgmt Group + Azure Policy
Systems Manager Session Manager,Shell access without open ports,Azure Bastion (rough)
Transit Gateway Flow Logs,Traffic logs across connected VPCs,Azure vWAN / NSG Flow Logs
VPC Flow Logs,Records VPC network traffic metadata,NSG Flow Logs
